Property,Correlation score
awareness,0.712430639614641
volition,0.6975934141322359
sentient,0.6693645928917185
existed_before,0.6067252783249962
was_for_benefit,0.5215239126867044
instigation,0.47395357091171086
existed_after,0.4627999086765369
change_of_location,0.3918131282987626
existed_during,0.3369426702356585
change_of_state_continuous,0.25066802954624384
change_of_state,0.22442929032959905
change_of_possession,0.20926028537140834
partitive,0.20790069022614158
was_used,0.18912548754262512
