Token.Sent,awareness,change_of_location,change_of_possession,change_of_state,change_of_state_continuous,existed_after,existed_before,existed_during,instigation,partitive,sentient,volition,was_for_benefit,was_used
<3.9898,0.625,0.125,0.125,0.125,0.0,1.0,1.0,1.0,1.0,0.5,0.75,0.625,0.875,0.875
abandon.7249,0.0,0.5,0.875,0.75,0.5,1.0,0.875,1.0,0.0,0.25,0.0,0.0,0.75,0.625
accelerate.5143,0.125,0.375,0.25,0.75,0.75,0.5,0.875,1.0,0.5,0.875,0.0,0.125,0.125,1.0
accept.10110,0.25,0.625,0.875,0.375,0.0,0.875,0.875,1.0,0.5,0.125,0.375,0.125,0.375,0.75
accumulate.385,0.125,0.125,0.375,0.375,0.5,1.0,0.125,0.42857142857142855,1.0,0.5,0.0,0.125,0.625,1.0
add.11072,0.0,1.0,0.375,0.375,0.0,1.0,1.0,1.0,0.5,0.375,0.0,0.0,0.125,1.0
add.3644,0.5,0.25,0.5,0.75,0.5,1.0,1.0,1.0,1.0,0.625,0.25,0.375,0.625,0.75
add.7830,0.0,0.875,0.625,0.875,0.75,1.0,1.0,1.0,0.125,0.875,0.0,0.0,0.375,1.0
address.6754,0.0,0.625,0.75,0.75,0.5,0.875,0.875,0.8571428571428571,0.5,0.875,0.0,0.0,0.0,0.875
adopt.10497,0.875,1.0,1.0,0.375,0.375,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.875,1.0
adopt.8968,0.875,1.0,1.0,0.5,0.375,1.0,1.0,1.0,0.125,0.0,0.875,0.125,0.875,1.0
advise.1473,1.0,0.625,0.0,0.75,0.75,1.0,1.0,1.0,0.375,0.125,1.0,0.875,1.0,0.375
advise.1477,1.0,0.25,0.0,0.5,0.5,1.0,1.0,0.42857142857142855,0.625,0.375,1.0,0.875,1.0,0.5
affirm.415,0.0,0.0,0.0,0.125,0.0,0.875,0.75,1.0,0.875,0.125,0.0,0.0,0.375,1.0
affirm.6055,0.375,0.25,0.375,0.375,0.0,1.0,1.0,1.0,0.875,0.25,0.125,0.5,0.875,0.25
affirm.6060,0.0,0.0,0.0,0.375,0.375,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0
allow.10830,1.0,0.25,0.0,0.375,0.5,1.0,1.0,1.0,0.75,0.0,0.875,0.875,1.0,0.875
amaze.10607,1.0,0.125,0.0,0.5,0.5,1.0,1.0,1.0,0.625,0.0,1.0,0.625,0.875,0.5
amend.3620,0.0,0.375,0.125,0.75,0.5,0.875,0.875,0.8571428571428571,0.375,0.75,0.0,0.0,0.25,0.875
appreciate.10643,0.25,0.125,0.125,0.25,0.0,0.875,0.875,1.0,1.0,0.125,0.375,0.125,0.375,0.125
appreciate.1649,0.0,0.25,0.0,0.25,0.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.625,0.75
approach.2340,1.0,0.375,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.0,1.0,0.75,0.75,0.5
