Token.Sent,awareness,change_of_location,change_of_possession,change_of_state,change_of_state_continuous,existed_after,existed_before,existed_during,instigation,partitive,sentient,volition,was_for_benefit,was_used
<3.9898,0.75,0.625,0.25,0.625,0.5,0.75,0.75,0.7142857142857143,0.625,0.25,1.0,0.75,0.625,0.75
abandon.7249,1.0,0.875,0.125,0.625,0.5,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0
accelerate.5143,0.5,0.0,0.0,0.0,0.0,0.875,0.75,1.0,1.0,0.625,0.0,0.0,0.125,1.0
accept.10110,1.0,0.25,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.375,1.0,0.875,0.75,1.0
accumulate.385,1.0,0.625,0.0,0.625,0.375,1.0,1.0,1.0,0.875,0.375,1.0,1.0,1.0,1.0
acknowledge.867,0.5,0.25,0.25,0.0,0.0,0.5,0.5,1.0,1.0,0.625,0.0,0.5,0.0,1.0
act.6778,0.875,0.625,0.125,0.625,0.375,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875
activate.11869,0.0,0.125,0.125,0.875,0.875,1.0,1.0,1.0,0.25,0.625,0.0,0.0,0.125,0.875
add.11072,0.0,0.0,0.0,0.5,0.5,0.25,0.125,1.0,1.0,0.5,0.0,0.0,0.0,1.0
add.284,1.0,0.5,0.0,0.75,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.625,1.0
add.3644,0.0,0.0,0.0,0.75,0.5,1.0,0.75,1.0,0.75,0.0,0.0,0.0,0.375,0.875
add.65,1.0,0.625,0.125,0.375,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.5
add.651,1.0,0.25,0.125,0.375,0.0,1.0,1.0,1.0,0.875,0.25,0.875,1.0,0.375,0.75
add.660,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
add.7830,1.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.875,0.0,1.0,1.0,0.875,1.0
address.6754,1.0,0.375,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.625,1.0
admit.11408,1.0,0.5,0.25,0.5,0.375,0.875,1.0,1.0,0.75,0.125,1.0,0.875,0.125,0.5
admit.1420,1.0,0.625,0.125,0.125,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.625
admit.1550,1.0,0.625,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.875,0.75,0.5
admit.6788,1.0,0.375,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,0.375,0.5
adopt.10497,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.5
adopt.8968,1.0,0.875,0.0,0.375,0.5,1.0,1.0,0.8571428571428571,1.0,0.5,0.75,1.0,0.875,1.0
